Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2017-18,Tas,Primary health care,Dental services,Non-government,Other source of funds,"19,31,464.02","20,63,974.00"
2017-18,Tas,Primary health care,Dental services,State and local government,State and local government,"2,17,69,166.67","2,32,62,661.61"
2017-18,Tas,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"45,65,295.95","49,99,944.26"
2017-18,Tas,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"3,72,29,589.85","4,07,74,108.85"
2017-18,Tas,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"51,75,727.81","56,68,493.53"
2017-18,Tas,Primary health care,Other health practitioners,Non-government,Health insurance funds,"1,46,27,992.19","1,60,20,680.00"
2017-18,Tas,Primary health care,Other health practitioners,Non-government,Individuals,"4,38,63,711.16","4,80,39,845.20"
2017-18,Tas,Primary health care,Other health practitioners,Non-government,Other source of funds,"29,95,603.15","32,80,805.66"
2017-18,Tas,Primary health care,Other health practitioners,State and local government,State and local government,"32,40,584.86","35,49,111.35"
2017-18,Tas,Primary health care,Public health,Canadian Government,DoHAC and other,"2,57,71,729.98","2,83,55,189.70"
2017-18,Tas,Primary health care,Public health,Non-government,Other source of funds,"10,49,033.45","11,54,162.28"
2017-18,Tas,Primary health care,Public health,State and local government,State and local government,"2,01,09,835.89","2,21,25,142.18"
2017-18,Tas,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"32,86,629.36","35,53,580.03"
2017-18,Tas,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"21,89,89,121.29","23,67,93,447.34"
2017-18,Tas,Primary health care,Unreferred medical services,Non-government,Individuals,"2,64,62,599.00","2,86,11,976.95"
2017-18,Tas,Primary health care,Unreferred medical services,Non-government,Other source of funds,"1,94,36,217.20","2,10,14,889.67"
2017-18,Tas,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"1,48,66,050.99","1,60,73,519.77"
2017-18,Tas,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"27,82,84,581.00","30,08,87,755.42"
2017-18,Tas,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"1,44,54,910.04","1,56,28,984.62"
2017-18,Tas,Referred medical services,Referred medical services,Non-government,Health insurance funds,"4,08,53,444.96","4,41,71,693.99"
2017-18,Tas,Referred medical services,Referred medical services,Non-government,Individuals,"4,77,69,801.00","5,16,49,818.86"
2017-18,Tas,Research,Research,Canadian Government,Department of Veterans' Affairs,0,0
2017-18,Tas,Research,Research,Canadian Government,DoHAC and other,"5,83,81,084.72","6,43,06,395.87"
2017-18,Tas,Research,Research,Non-government,Other source of funds,"25,27,596.46","27,84,131.53"
2017-18,Tas,Research,Research,State and local government,State and local government,"38,21,535.39","42,09,397.09"
2017-18,Vic,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"2,72,67,384.96","2,85,39,061.52"
2017-18,Vic,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"1,61,11,69,746.73","1,77,09,41,392.66"
2017-18,Vic,Capital expenditure,Capital expenditure,State and local government,State and local government,"96,80,00,000.00","1,06,83,08,317.16"
2017-18,Vic,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"16,60,64,381.79","18,51,40,377.33"
2017-18,Vic,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"9,78,27,426.33","10,90,56,228.54"
2017-18,Vic,Hospitals,Private hospitals,Canadian Government,Premium rebates,"74,93,16,068.96","83,53,90,818.03"
2017-18,Vic,Hospitals,Private hospitals,Non-government,Health insurance funds,"2,11,82,98,483.19","2,36,16,29,726.09"
2017-18,Vic,Hospitals,Private hospitals,Non-government,Individuals,"65,77,29,793.60","73,32,83,927.94"
2017-18,Vic,Hospitals,Private hospitals,Non-government,Other source of funds,"37,84,04,293.85","42,18,72,005.26"
2017-18,Vic,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"10,33,14,477.21","11,51,82,323.19"
2017-18,Vic,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"5,45,97,99,303.94","6,08,67,57,524.09"
2017-18,Vic,Hospitals,Public hospital services,Canadian Government,Premium rebates,"6,98,37,104.97","7,78,59,368.91"
2017-18,Vic,Hospitals,Public hospital services,Non-government,Health insurance funds,"19,74,27,814.04","22,01,06,561.04"
2017-18,Vic,Hospitals,Public hospital services,Non-government,Individuals,"21,27,04,875.04","23,71,38,514.59"
2017-18,Vic,Hospitals,Public hospital services,Non-government,Other source of funds,"40,31,13,249.51","44,94,19,305.44"
2017-18,Vic,Hospitals,Public hospital services,State and local government,State and local government,"7,97,45,63,203.18","8,89,06,09,922.39"
2017-18,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"31,24,800.00","35,11,824.89"
2017-18,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-31,24,800.00","-35,11,824.89"
2017-18,Vic,Other services,Administration,Canadian Government,Department of Veterans' Affairs,0,0
2017-18,Vic,Other services,Administration,Canadian Government,DoHAC and other,"43,93,52,216.24","49,31,64,994.04"
2017-18,Vic,Other services,Administration,Canadian Government,Premium rebates,"13,47,82,953.71","15,14,76,616.56"
2017-18,Vic,Other services,Administration,Non-government,Health insurance funds,"38,09,32,704.81","42,81,13,464.44"
2017-18,Vic,Other services,Administration,State and local government,State and local government,"-4,00,000.00","-4,49,542.36"
2017-18,Vic,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"1,27,302.17","1,36,330.68"
2017-18,Vic,Other services,Aids and appliances,Canadian Government,DoHAC and other,"16,02,33,418.76","17,15,97,479.85"
2017-18,Vic,Other services,Aids and appliances,Canadian Government,Premium rebates,"5,35,87,245.33","5,73,87,755.45"
2017-18,Vic,Other services,Aids and appliances,Non-government,Health insurance funds,"15,14,51,899.12","16,21,93,158.00"
2017-18,Vic,Other services,Aids and appliances,Non-government,Individuals,"93,50,36,948.97","1,00,13,51,561.04"
2017-18,Vic,Other services,Aids and appliances,Non-government,Other source of funds,"3,82,35,714.27","4,09,47,464.39"
2017-18,Vic,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"2,26,68,783.72","2,52,72,771.48"
2017-18,Vic,Other services,Patient transport services,Canadian Government,DoHAC and other,"5,42,664.79","6,05,001.28"
2017-18,Vic,Other services,Patient transport services,Canadian Government,Premium rebates,"1,21,50,753.00","1,35,46,523.17"
2017-18,Vic,Other services,Patient transport services,Non-government,Health insurance funds,"3,43,41,280.39","3,82,86,100.49"
2017-18,Vic,Other services,Patient transport services,Non-government,Individuals,"29,75,69,000.00","33,17,51,073.58"
2017-18,Vic,Other services,Patient transport services,Non-government,Other source of funds,"84,26,581.29","93,94,551.82"
2017-18,Vic,Other services,Patient transport services,State and local government,State and local government,"74,16,35,601.77","82,68,28,087.25"
2017-18,Vic,Primary health care,All other medications,Canadian Government,DoHAC and other,"16,43,50,931.99","17,02,20,462.14"
2017-18,Vic,Primary health care,All other medications,Canadian Government,Premium rebates,"26,81,882.85","27,70,952.30"
2017-18,Vic,Primary health care,All other medications,Non-government,Health insurance funds,"75,79,718.78","78,31,452.90"
2017-18,Vic,Primary health care,All other medications,Non-government,Individuals,"2,60,95,12,896.35","2,72,12,03,684.96"
2017-18,Vic,Primary health care,All other medications,Non-government,Other source of funds,"2,63,01,236.39","2,71,74,740.89"
2017-18,Vic,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"5,87,21,783.02","6,45,26,845.51"
2017-18,Vic,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"2,31,72,48,984.09","2,54,73,93,036.91"
2017-18,Vic,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"36,77,51,530.15","40,41,06,363.13"
2017-18,Vic,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,"1,35,749.00","1,52,562.31"
2017-18,Vic,Primary health care,Community health and other,Canadian Government,DoHAC and other,"21,52,13,112.25","24,08,45,397.06"
2017-18,Vic,Primary health care,Community health and other,Canadian Government,Premium rebates,"48,148.06","54,111.48"
2017-18,Vic,Primary health care,Community health and other,Non-government,Health insurance funds,"1,36,079.31","1,52,933.53"
2017-18,Vic,Primary health care,Community health and other,Non-government,Individuals,"92,06,493.25","1,03,46,771.67"
2017-18,Vic,Primary health care,Community health and other,Non-government,Other source of funds,"3,71,56,013.23","4,17,58,004.36"
2017-18,Vic,Primary health care,Community health and other,State and local government,State and local government,"78,09,03,895.75","87,76,23,443.66"
2017-18,Vic,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"1,20,91,891.00","1,29,21,466.99"
2017-18,Vic,Primary health care,Dental services,Canadian Government,DoHAC and other,"11,61,59,587.32","12,41,28,822.89"
2017-18,Vic,Primary health care,Dental services,Canadian Government,Premium rebates,"14,10,22,810.39","15,06,97,818.03"
2017-18,Vic,Primary health care,Dental services,Non-government,Health insurance funds,"39,85,68,210.01","42,59,12,371.33"
2017-18,Vic,Primary health care,Dental services,Non-government,Individuals,"2,22,51,15,433.51","2,37,77,71,651.02"
2017-18,Vic,Primary health care,Dental services,Non-government,Other source of funds,"1,01,04,977.15","1,07,98,238.98"
2017-18,Vic,Primary health care,Dental services,State and local government,State and local government,"18,21,52,540.65","19,46,49,293.61"
2017-18,Vic,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"4,00,59,196.82","4,38,73,114.31"
2017-18,Vic,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"46,47,37,964.11","50,89,84,289.35"
2017-18,Vic,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"7,12,87,852.77","7,80,74,958.11"
2017-18,Vic,Primary health care,Other health practitioners,Non-government,Health insurance funds,"20,14,78,553.67","22,06,60,730.09"
2017-18,Vic,Primary health care,Other health practitioners,Non-government,Individuals,"83,49,13,462.59","91,44,03,100.77"
2017-18,Vic,Primary health care,Other health practitioners,Non-government,Other source of funds,"12,59,16,831.44","13,79,05,000.05"
2017-18,Vic,Primary health care,Public health,Canadian Government,DoHAC and other,"32,48,55,783.29","36,22,43,885.13"
2017-18,Vic,Primary health care,Public health,Non-government,Individuals,"8,74,815.36","9,75,306.34"
2017-18,Vic,Primary health care,Public health,Non-government,Other source of funds,"11,18,999.28","12,47,539.94"
2017-18,Vic,Primary health care,Public health,State and local government,State and local government,"39,59,47,323.97","44,14,30,222.26"
2017-18,Vic,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"2,00,82,815.81","2,19,21,385.41"
2017-18,Vic,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"2,34,43,39,658.30","2,55,89,62,873.28"
2017-18,Vic,Primary health care,Unreferred medical services,Non-government,Individuals,"21,70,25,767.00","23,68,94,344.22"
2017-18,Vic,Primary health care,Unreferred medical services,Non-government,Other source of funds,"22,68,80,773.23","24,76,51,570.29"
2017-18,Vic,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"10,48,80,619.61","11,44,82,376.67"
2017-18,Vic,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"3,43,95,16,569.00","3,75,44,02,222.93"
2017-18,Vic,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"16,27,23,851.70","17,76,21,121.54"
2017-18,Vic,Referred medical services,Referred medical services,Non-government,Health insurance funds,"45,99,01,161.50","50,20,04,833.66"
2017-18,Vic,Referred medical services,Referred medical services,Non-government,Individuals,"75,49,79,320.80","82,40,97,219.31"
2017-18,Vic,Research,Research,Canadian Government,Department of Veterans' Affairs,0,0
2017-18,Vic,Research,Research,Canadian Government,DoHAC and other,"1,26,92,36,630.48","1,42,64,39,064.44"
2017-18,Vic,Research,Research,Non-government,Individuals,"36,178.12","40,658.99"
2017-18,Vic,Research,Research,Non-government,Other source of funds,"10,82,33,031.60","12,16,38,330.18"
2017-18,Vic,Research,Research,State and local government,State and local government,"9,68,19,147.05","10,88,10,768.79"
2017-18,WA,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"83,44,760.04","89,29,714.73"
2017-18,WA,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"23,21,47,693.08","26,23,63,018.46"
2017-18,WA,Capital expenditure,Capital expenditure,State and local government,State and local government,"35,20,00,000.00","38,91,11,814.53"
2017-18,WA,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"6,91,49,294.00","7,38,56,050.97"
